UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
SPX,2016.52,*,SPX160115C01100000,call,January-15-16,January-05-16,1100,948.06,915.9,919.8,0,20,20,1.6265,0,1.8525,0.9931,0,-0.5435,0.0624,SPX160115C01100000
SPX,2016.52,*,SPX160115P01100000,put,January-15-16,January-05-16,1100,0.05,0,0.1,0,3111,3111,1.1972,0,1.2489,-0.0006,0,-0.0404,0.0063,SPX160115P01100000
SPX,2016.52,*,SPX160115C01125000,call,January-15-16,January-05-16,1125,839.4,890.9,894.8,0,4,4,1.5771,0,1.7909,0.9927,0,-0.5536,0.0655,SPX160115C01125000
SPX,2016.52,*,SPX160115P01125000,put,January-15-16,January-05-16,1125,0.05,0,0.05,0,2559,2559,1.1292,0,1.1394,-0.0004,0,-0.0312,0.0052,SPX160115P01125000
SPX,2016.52,*,SPX160115C01150000,call,January-15-16,January-05-16,1150,909.7,865.9,869.8,0,2,2,1.5273,0,1.7308,0.9923,0,-0.5608,0.0685,SPX160115C01150000
SPX,2016.52,*,SPX160115P01150000,put,January-15-16,January-05-16,1150,0.03,0,0.05,0,5168,5168,1.0312,0,1.0987,-0.0002,0,-0.0162,0.0029,SPX160115P01150000
SPX,2016.52,*,SPX160115C01175000,call,January-15-16,January-05-16,1175,882.2,840.9,844.8,0,27,27,1.472,0,1.6719,0.9921,0,-0.5529,0.0701,SPX160115C01175000
SPX,2016.52,*,SPX160115P01175000,put,January-15-16,January-05-16,1175,0.05,0,0.05,0,5738,5738,0.9966,0,1.059,-0.0003,0,-0.0167,0.0031,SPX160115P01175000
SPX,2016.52,*,SPX160115C01200000,call,January-15-16,January-05-16,1200,854.9,815.9,819.9,0,32,32,1.4144,0,1.6219,0.992,0,-0.5367,0.0708,SPX160115C01200000
SPX,2016.52,*,SPX160115P01200000,put,January-15-16,January-05-16,1200,0.05,0,0.05,778,22478,22478,0.9683,0,1.02,-0.0003,0,-0.0186,0.0036,SPX160115P01200000
SPX,2016.52,*,SPX160115C01220000,call,January-15-16,January-05-16,1220,0,795.7,799.7,0,0,0,1.365,0,1.5608,0.9921,0,-0.5138,0.0703,SPX160115C01220000
SPX,2016.52,*,SPX160115P01220000,put,January-15-16,January-05-16,1220,0,0,0.05,0,1307,1307,0.939,0,0.9894,-0.0003,0,-0.0186,0.0037,SPX160115P01220000
SPX,2016.52,*,SPX160115C01225000,call,January-15-16,January-05-16,1225,741.5,790.7,794.7,0,24,24,1.3519,0,1.5494,0.9921,0,-0.506,0.0699,SPX160115C01225000
SPX,2016.52,*,SPX160115P01225000,put,January-15-16,January-05-16,1225,0.05,0,0.05,0,2062,2062,0.9318,0,0.9819,-0.0003,0,-0.0186,0.0037,SPX160115P01225000
SPX,2016.52,*,SPX160115C01240000,call,January-15-16,January-05-16,1240,0,775.7,779.7,0,0,0,1.313,0,1.5156,0.9923,0.0001,-0.4829,0.0687,SPX160115C01240000
SPX,2016.52,*,SPX160115P01240000,put,January-15-16,January-05-16,1240,0.05,0,0.05,0,1525,1525,0.9103,0,0.9592,-0.0003,0,-0.0185,0.0038,SPX160115P01240000
SPX,2016.52,*,SPX160115C01250000,call,January-15-16,January-05-16,1250,717.1,765.7,769.7,0,11,11,1.2971,0,1.4935,0.992,0.0001,-0.4906,0.0706,SPX160115C01250000
SPX,2016.52,*,SPX160115P01250000,put,January-15-16,January-05-16,1250,0.05,0,0.05,0,11656,11656,0.8961,0,0.9443,-0.0003,0,-0.0185,0.0039,SPX160115P01250000
SPX,2016.52,*,SPX160115C01260000,call,January-15-16,January-05-16,1260,0,755.7,759.7,0,0,0,1.2777,0,1.4715,0.9919,0.0001,-0.4898,0.0716,SPX160115C01260000
SPX,2016.52,*,SPX160115P01260000,put,January-15-16,January-05-16,1260,0.05,0,0.05,0,2073,2073,0.8818,0,0.9296,-0.0003,0,-0.0184,0.0039,SPX160115P01260000
SPX,2016.52,*,SPX160115C01270000,call,January-15-16,January-05-16,1270,0,745.7,749.7,0,0,0,1.2593,0,1.4497,0.9917,0.0001,-0.491,0.0728,SPX160115C01270000
SPX,2016.52,*,SPX160115P01270000,put,January-15-16,January-05-16,1270,0.05,0,0.05,0,4617,4617,0.8683,0,0.9148,-0.0003,0,-0.0185,0.004,SPX160115P01270000
SPX,2016.52,*,SPX160115C01275000,call,January-15-16,January-05-16,1275,692.15,740.7,744.7,0,16,16,1.2492,0,1.4396,0.9917,0.0001,-0.4893,0.0731,SPX160115C01275000
SPX,2016.52,*,SPX160115P01275000,put,January-15-16,January-05-16,1275,0.05,0,0.05,3,2481,2481,0.8609,0,0.9075,-0.0003,0,-0.0184,0.004,SPX160115P01275000
SPX,2016.52,*,SPX160115C01280000,call,January-15-16,January-05-16,1280,0,735.7,739.7,0,0,0,1.2391,0,1.4286,0.9916,0.0001,-0.4875,0.0734,SPX160115C01280000
SPX,2016.52,*,SPX160115P01280000,put,January-15-16,January-05-16,1280,0.05,0,0.05,0,1046,1046,0.8537,0,0.9002,-0.0003,0,-0.0183,0.004,SPX160115P01280000
SPX,2016.52,*,SPX160115C01290000,call,January-15-16,January-05-16,1290,0,725.7,729.7,0,0,0,1.2198,0,1.4068,0.9915,0.0001,-0.4859,0.0744,SPX160115C01290000
SPX,2016.52,*,SPX160115P01290000,put,January-15-16,January-05-16,1290,0.05,0,0.05,0,1020,1020,0.8399,0,0.8858,-0.0003,0,-0.0183,0.0041,SPX160115P01290000
SPX,2016.52,*,SPX160115C01300000,call,January-15-16,January-05-16,1300,791,715.7,719.7,0,3011,3011,1.2004,0,1.3853,0.9914,0.0001,-0.4836,0.0752,SPX160115C01300000
SPX,2016.52,*,SPX160115P01300000,put,January-15-16,January-05-16,1300,0.1,0,0.05,0,17900,17900,0.8264,0,0.8714,-0.0004,0,-0.0183,0.0041,SPX160115P01300000
SPX,2016.52,*,SPX160115C01310000,call,January-15-16,January-05-16,1310,0,705.7,709.7,0,0,0,1.1853,0,1.364,0.9911,0.0001,-0.4919,0.0775,SPX160115C01310000
SPX,2016.52,*,SPX160115P01310000,put,January-15-16,January-05-16,1310,0.05,0,0.05,0,1778,1778,0.813,0,0.8571,-0.0004,0,-0.0183,0.0042,SPX160115P01310000
SPX,2016.52,*,SPX160115C01320000,call,January-15-16,January-05-16,1320,0,695.7,699.9,0,0,0,1.1711,0,1.3562,0.9908,0.0001,-0.5026,0.0801,SPX160115C01320000
SPX,2016.52,*,SPX160115P01320000,put,January-15-16,January-05-16,1320,0.05,0,0.05,0,1726,1726,0.7997,0,0.8429,-0.0004,0,-0.0184,0.0043,SPX160115P01320000
SPX,2016.52,*,SPX160115C01325000,call,January-15-16,January-05-16,1325,642.85,690.7,694.9,0,4,4,1.1671,0,1.3456,0.9904,0.0001,-0.5162,0.0826,SPX160115C01325000
SPX,2016.52,*,SPX160115P01325000,put,January-15-16,January-05-16,1325,0.1,0,0.05,0,1629,1629,0.7926,0,0.8359,-0.0004,0,-0.0182,0.0043,SPX160115P01325000
SPX,2016.52,*,SPX160115C01330000,call,January-15-16,January-05-16,1330,0,685.7,689.9,0,0,0,1.1627,0,1.3351,0.9901,0.0001,-0.529,0.0849,SPX160115C01330000
SPX,2016.52,*,SPX160115P01330000,put,January-15-16,January-05-16,1330,0.25,0,0.05,0,627,627,0.7865,0,0.8289,-0.0004,0,-0.0184,0.0044,SPX160115P01330000
SPX,2016.52,*,SPX160115C01340000,call,January-15-16,January-05-16,1340,0,676,679.9,0,0,0,1.1506,0,1.315,0.9896,0.0001,-0.546,0.0886,SPX160115C01340000
SPX,2016.52,*,SPX160115P01340000,put,January-15-16,January-05-16,1340,0.05,0,0.05,250,1221,1395,0.763,0,0.8149,-0.0003,0,-0.0157,0.0038,SPX160115P01340000
SPX,2016.52,*,SPX160115C01350000,call,January-15-16,January-05-16,1350,717.7,666,669.9,0,6,6,1.1383,0,1.2936,0.9891,0.0001,-0.5628,0.0923,SPX160115C01350000
SPX,2016.52,*,SPX160115P01350000,put,January-15-16,January-05-16,1350,0.05,0,0.05,1200,13112,14165,0.7844,0,0.801,-0.0006,0,-0.0265,0.0063,SPX160115P01350000
SPX,2016.52,*,SPX160115C01360000,call,January-15-16,January-05-16,1360,0,656,659.9,0,0,0,1.1201,0,1.2727,0.989,0.0001,-0.5626,0.0938,SPX160115C01360000
SPX,2016.52,*,SPX160115P01360000,put,January-15-16,January-05-16,1360,0.05,0,0.3,100,1022,1122,0.8177,0,0.9275,-0.001,0,-0.0494,0.0113,SPX160115P01360000
SPX,2016.52,*,SPX160115C01365000,call,January-15-16,January-05-16,1365,0,651,654.9,0,0,0,1.1066,0,1.2623,0.9891,0.0001,-0.5494,0.0927,SPX160115C01365000
SPX,2016.52,*,SPX160115P01365000,put,January-15-16,January-05-16,1365,0.05,0,0.3,60,1660,1720,0.8292,0,0.9197,-0.0013,0,-0.0617,0.0139,SPX160115P01365000
SPX,2016.52,*,SPX160115C01370000,call,January-15-16,January-05-16,1370,679.95,646,649.9,0,1,1,1.0949,0,1.252,0.9891,0.0001,-0.5415,0.0923,SPX160115C01370000
SPX,2016.52,*,SPX160115P01370000,put,January-15-16,January-05-16,1370,0.1,0,0.15,0,895,895,0.8267,0,0.8511,-0.0014,0,-0.0652,0.0147,SPX160115P01370000
SPX,2016.52,*,SPX160115C01375000,call,January-15-16,January-05-16,1375,722.1,641,644.9,0,2,2,1.0952,0,1.2417,0.9885,0.0001,-0.5687,0.0969,SPX160115C01375000
SPX,2016.52,*,SPX160115P01375000,put,January-15-16,January-05-16,1375,0.05,0,0.1,63,6453,6516,0.7744,0,0.813,-0.0008,0,-0.0369,0.0089,SPX160115P01375000
SPX,2016.52,*,SPX160115C01380000,call,January-15-16,January-05-16,1380,670.05,636,639.9,0,1,1,1.0697,0,1.2315,0.9894,0.0001,-0.52,0.0907,SPX160115C01380000
SPX,2016.52,*,SPX160115P01380000,put,January-15-16,January-05-16,1380,0.1,0,0.15,0,959,959,0.7713,0,0.8364,-0.0009,0,-0.0388,0.0094,SPX160115P01380000
SPX,2016.52,*,SPX160115C01385000,call,January-15-16,January-05-16,1385,0,631,634.9,0,0,0,1.0778,0,1.222,0.9883,0.0001,-0.5701,0.0987,SPX160115C01385000
SPX,2016.52,*,SPX160115P01385000,put,January-15-16,January-05-16,1385,0.1,0,0.15,0,1062,1062,0.7728,0,0.829,-0.001,0,-0.0434,0.0105,SPX160115P01385000
SPX,2016.52,*,SPX160115C01390000,call,January-15-16,January-05-16,1390,0,626,629.9,0,0,0,1.0678,0,1.2113,0.9882,0.0001,-0.5667,0.0991,SPX160115C01390000
SPX,2016.52,*,SPX160115P01390000,put,January-15-16,January-05-16,1390,0.1,0,0.15,0,803,803,0.7676,0,0.8216,-0.001,0,-0.0443,0.0108,SPX160115P01390000
SPX,2016.52,*,SPX160115C01395000,call,January-15-16,January-05-16,1395,0,621,624.9,0,0,0,1.0454,0,1.201,0.9889,0.0001,-0.526,0.0939,SPX160115C01395000
SPX,2016.52,*,SPX160115P01395000,put,January-15-16,January-05-16,1395,0.1,0,0.15,0,929,929,0.77,0,0.8143,-0.0011,0,-0.05,0.0121,SPX160115P01395000
SPX,2016.52,*,SPX160115C01400000,call,January-15-16,January-05-16,1400,672.7,616,619.9,0,124,124,1.0504,0,1.191,0.988,0.0001,-0.5676,0.1009,SPX160115C01400000
